,CDU 14-MA,SPD 14-MA,GRU 14-MA,FDP 14-MA,AfD 14-MA,BSW 14-MA,LIN 14-MA,CDU Allens,SPD Allens,GRU Allens,FDP Allens,AfD Allens,BSW Allens,LIN Allens,CDU Fgwahl,SPD Fgwahl,GRU Fgwahl,FDP Fgwahl,AfD Fgwahl,BSW Fgwahl,LIN Fgwahl,CDU Forsa,SPD Forsa,GRU Forsa,FDP Forsa,AfD Forsa,BSW Forsa,LIN Forsa,CDU Gms,SPD Gms,GRU Gms,FDP Gms,AfD Gms,BSW Gms,LIN Gms,CDU Infra,SPD Infra,GRU Infra,FDP Infra,AfD Infra,BSW Infra,LIN Infra,CDU Insa,SPD Insa,GRU Insa,FDP Insa,AfD Insa,BSW Insa,LIN Insa,CDU Ipsos,SPD Ipsos,GRU Ipsos,FDP Ipsos,AfD Ipsos,BSW Ipsos,LIN Ipsos,CDU Verian,SPD Verian,GRU Verian,FDP Verian,AfD Verian,BSW Verian,LIN Verian,CDU Yougov,SPD Yougov,GRU Yougov,FDP Yougov,AfD Yougov,BSW Yougov,LIN Yougov
1 Dec 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 Dec 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.5,16.0,13.0,4.5,18.5,7.5,3.5,,,,,,,,,,,,,,,,,,,,,
3 Dec 2024,,,,,,,,,,,,,,,,,,,,,,32.0,16.0,12.0,3.0,18.0,4.0,4.0,34.0,15.0,13.0,4.0,17.0,6.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 Dec 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 Dec 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,16.0,14.0,4.0,18.0,5.0,3.0,,,,,,,,32.0,16.0,13.0,3.0,18.0,7.0,3.0,,,,,,,,30.0,18.0,13.0,4.0,19.0,7.0,3.0
6 Dec 2024,,,,,,,,,,,,,,,33.0,15.0,14.0,4.0,17.0,5.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 Dec 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,16.0,12.0,4.0,19.0,8.0,4.0,,,,,,,,,,,,,,,,,,,,,
8 Dec 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9 Dec 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.5,17.0,11.5,4.5,19.5,8.0,3.0,,,,,,,,,,,,,,,,,,,,,
10 Dec 2024,,,,,,,,,,,,,,,,,,,,,,31.0,17.0,13.0,4.0,18.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 Dec 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 Dec 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13 Dec 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14 Dec 2024,31.8,16.3,12.7,4.0,18.4,6.3,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,17.0,11.0,5.0,20.0,8.0,3.0,,,,,,,,,,,,,,,,,,,,,
